ACELERÔMETRO X (m/s²);ACELERÔMETRO Y (m/s²);ACELERÔMETRO Z (m/s²);GRAVIDADE X (m/s²);GRAVIDADE Y (m/s²);GRAVIDADE Z (m/s²);ACELERAÇÃO LINEAR X (m/s²);ACELERAÇÃO LINEAR Y (m/s²);ACELERAÇÃO LINEAR Z (m/s²);GIROSCÓPIO X (rad/s);GIROSCÓPIO Y (rad/s);GIROSCÓPIO Z (rad/s);LUZ (lux);PROXIMIDADE (m);NÍVEL DO SOM (dB);LOCALIZAÇÃO Latitude : ;LOCALIZAÇÃO Longitude : ;LOCALIZAÇÃO Altitude ( m);LOCALIZAÇÃO Altitude-google ( m);LOCALIZAÇÃO Velocidade ( Metros por segundo);LOCALIZAÇÃO Precisão ( m);LOCALIZAÇÃO ORIENTAÇÃO (°);Satélite dentro do Alcance;Tempo desde o início, em m/s ;YYYY-MO-DD HH-MI-SS_SSS
-0.2964;62.549;60.743;-0.895;65.165;72.736;-0.1601;-11.998;-0.2001;-0.0908;-0.1767;0.1868;15129.0;5.0;43.827;-25.449.432;-49.234.062;916.1;NaN;1.38;3.790.092;95.1;14 / 19;529509;2023-06-30 10:45:13:855
0.1575;68.382;72.505;-0.096;6.677;71.819;0.4138;-0.8639;-17.956;-0.5021;0.3554;-0.3633;15129.0;5.0;50.5;-25.449.432;-49.234.062;916.1;NaN;1.38;3.790.092;95.1;14 / 19;530009;2023-06-30 10:45:14:355
-17.101;61.654;94.313;-12.575;56.721;79.004;-15.777;0.8801;21.152;0.2832;-0.3149;0.1716;17928.1;5.0;52.753;-25.449.434;-49.234.047;915.61;NaN;0.95;3.790.092;98.6;14 / 19;530508;2023-06-30 10:45:14:854
-0.0524;66.475;69.056;-0.2712;57.327;79.519;0.4871;0.3356;-0.7065;0.0767;0.0252;0.4197;17928.1;5.0;53.437;-25.449.434;-49.234.047;915.61;NaN;0.95;3.790.092;98.6;14 / 19;531009;2023-06-30 10:45:15:355
0.524;64.088;67.642;0.3302;65.086;7.328;-0.4025;-0.3571;-0.4737;0.3863;0.2839;-0.1911;17928.1;5.0;65.338;-25.449.436;-49.234.043;916.58;NaN;0.41;3.790.092;93.1;13 / 19;531509;2023-06-30 10:45:15:855
-10.453;69.301;81.614;0.0965;7.046;68.202;-0.6048;20.377;12.945;0.1864;0.2782;0.0571;17928.1;5.0;64.232;-25.449.436;-49.234.043;916.58;NaN;0.41;3.790.092;93.1;13 / 19;532009;2023-06-30 10:45:16:355
-0.8743;87.411;67.897;0.3615;67.019;71.501;-0.1065;10.385;-0.1018;-0.3029;-0.6;0.0763;17928.1;5.0;62.288;-25.449.436;-49.234.043;916.58;NaN;0.41;3.790.092;93.1;13 / 19;532510;2023-06-30 10:45:16:856
-0.4884;74.826;60.456;-0.2103;66.777;71.787;-0.1495;-0.1491;-0.4408;-0.1398;0.1583;-0.2666;17928.1;5.0;59.576;-25.449.436;-49.234.043;916.58;NaN;0.41;3.790.092;93.1;13 / 19;533009;2023-06-30 10:45:17:355
-0.1614;48.484;58.827;-0.1884;5.776;7.923;0.7903;-19.522;0.9821;0.0522;0.2911;-0.0085;17928.1;5.0;48.836;-2.544.944;-4.923.403;917.02;NaN;0.99;3.790.092;102.4;dez/19;533509;2023-06-30 10:45:17:855
32.468;4.031;91.846;12.502;50.899;82.886;-0.5704;-13.759;37.545;0.1795;0.1945;-0.0557;17928.1;5.0;45.622;-2.544.944;-4.923.403;917.02;NaN;0.99;3.790.092;102.4;dez/19;534009;2023-06-30 10:45:18:355
-0.8761;73.047;76.874;-0.157;58.823;7.845;-13.499;0.8407;12.542;-0.2615;0.2867;0.4931;17928.1;5.0;42.296;-2.544.944;-49.234.024;917.16;NaN;0.86;3.790.092;111.4;dez/19;534509;2023-06-30 10:45:18:855
0.1102;65.657;69.131;0.285;61.107;76.648;-0.0889;-0.1158;-0.9306;0.0887;-0.1816;-0.1186;17928.1;5.0;42.546;-2.544.944;-49.234.024;917.16;NaN;0.86;3.790.092;111.4;dez/19;535009;2023-06-30 10:45:19:355
-0.1979;62.738;5.783;0.0999;64.081;74.227;-0.5257;-0.4144;-15.181;0.0011;0.2028;-0.1724;17928.1;5.0;40.071;-25.449.444;-49.234.013;916.63;NaN;0.98;3.790.092;110.2;dez/19;535508;2023-06-30 10:45:19:854
-0.8429;63.723;67.591;0.1262;65.061;73.366;-0.7147;0.2768;12.254;-0.1598;0.0577;0.2469;17928.1;5.0;43.153;-25.449.444;-49.234.013;916.63;NaN;0.98;3.790.092;110.2;dez/19;536008;2023-06-30 10:45:20:354
15.837;76.302;79.913;0.8894;62.318;75.196;-0.6957;15.977;0.571;-0.2349;-0.3579;-0.2758;17928.1;5.0;42.118;-25.449.448;-49.234;916.27;NaN;1.17;3.790.092;105.9;dez/19;536508;2023-06-30 10:45:20:854
10.869;67.837;58.905;0.5917;65.699;72.565;12.594;0.2206;-10.344;0.2077;0.0365;-0.0521;17928.1;5.0;40.605;-25.449.448;-49.234;916.27;NaN;1.17;3.790.092;105.9;dez/19;537008;2023-06-30 10:45:21:354
-0.1374;57.779;62.911;0.7641;64.322;7.363;0.5916;0.0093;-13.592;0.1392;-0.2037;-0.1756;17928.1;5.0;45.442;-25.449.448;-49.233.994;916.49;NaN;1.14;3.790.092;104.7;dez/19;537509;2023-06-30 10:45:21:855
24.676;46.706;81.551;0.8671;60.748;76.495;10.853;-0.8149;20.891;-0.6055;0.3101;-0.5297;15.623.401;5.0;43.182;-25.449.448;-49.233.994;916.49;NaN;1.14;3.790.092;104.7;dez/19;538009;2023-06-30 10:45:22:355
-27.904;30.997;101.119;-17.033;44.638;85.641;-14.192;0.4695;14.773;0.187;0.021;0.1642;17750.0;5.0;39.349;-25.449.451;-49.233.974;915.87;NaN;1.32;3.790.092;102.9;13 / 19;538509;2023-06-30 10:45:22:855
-0.3225;4.905;94.645;-0.5237;3.808;90.219;-0.6721;0.1824;0.6444;-0.2326;0.6663;19.209;17750.0;5.0;37.147;-25.449.451;-49.233.974;915.87;NaN;1.32;3.790.092;102.9;13 / 19;539009;2023-06-30 10:45:23:355
-0.1189;30.381;87.627;-22.277;35.795;88.541;16.778;-0.4957;-0.7023;-0.385;0.9105;0.7887;17750.0;5.0;52.683;-25.449.453;-49.233.963;915.51;NaN;1.26;3.790.092;105.6;13 / 19;539509;2023-06-30 10:45:23:855
-14.076;12.346;104.036;-12.142;2.223;94.739;-0.6516;0.5669;-0.4469;0.2414;-0.173;-0.3208;17750.0;5.0;57.004;-25.449.453;-49.233.963;915.51;NaN;1.26;3.790.092;105.6;13 / 19;540009;2023-06-30 10:45:24:355
-1.154;15.316;92.972;-0.2915;22.626;95.376;-0.724;-10.167;36.618;0.5289;-0.0124;-0.5293;17750.0;5.0;57.024;-25.449.455;-4.923.395;915.63;NaN;0.93;3.790.092;104.0;13 / 19;540509;2023-06-30 10:45:24:855
-15.349;28.141;103.143;-0.5919;26.121;94.338;-0.6131;0.7925;12.336;-0.2696;-0.7715;-0.085;17750.0;5.0;54.394;-25.449.455;-4.923.395;915.63;NaN;0.93;3.790.092;104.0;13 / 19;541009;2023-06-30 10:45:25:355
0.1626;3.636;101.799;-0.5766;23.782;94.964;-0.1134;0.626;0.5976;-0.3647;-0.5362;-0.4932;17750.0;5.0;48.701;-2.544.946;-4.923.394;915.22;NaN;1.08;3.790.092;103.7;13 / 19;541509;2023-06-30 10:45:25:855
-21.137;2.588;8.554;-0.689;25.999;94.306;-12.265;-11.609;-0.2873;0.2874;0.2932;-0.2161;15500.9;5.0;46.215;-2.544.946;-4.923.394;915.22;NaN;1.08;3.790.092;103.7;13 / 19;542009;2023-06-30 10:45:26:355
0.6764;34.887;67.376;-0.5853;38.608;89.957;15.696;-1.94;15.139;14.497;-0.002;0.4771;15500.9;5.0;47.781;-2.544.946;-4.923.393;915.71;NaN;1.03;3.790.092;100.4;13 / 19;542509;2023-06-30 10:45:26:855
0.6803;43.906;97.098;0.8554;57.987;78.622;0.5743;0.5747;0.8407;-0.0842;-0.4578;-0.7786;13140.5;5.0;61.162;-2.544.946;-4.923.393;915.71;NaN;1.03;3.790.092;100.4;13 / 19;543009;2023-06-30 10:45:27:355
-0.6653;8.085;77.317;0.0017;60.857;76.899;-0.7905;0.4275;-0.0939;0.0168;0.4204;0.5487;13140.5;5.0;62.085;-25.449.463;-49.233.917;915.56;NaN;0.78;3.790.092;105.6;13 / 19;543509;2023-06-30 10:45:27:855
0.6992;66.058;85.255;0.0107;55.175;81.072;0.6872;0.6731;-18.945;-0.6132;-0.9116;-0.6325;13140.5;5.0;62.072;-25.449.463;-49.233.917;915.56;NaN;0.78;3.790.092;105.6;13 / 19;544008;2023-06-30 10:45:28:354
-19.778;44.559;66.777;-10.953;45.722;86.061;0.0959;0.4941;-2.917;-0.7396;-0.3;-15.187;13140.5;5.0;47.377;-25.449.467;-4.923.391;915.08;NaN;1.0;3.790.092;110.2;13 / 19;544509;2023-06-30 10:45:28:855
-12.918;0.5372;8.203;-13.376;29.037;92.709;-0.4593;-37.004;0.8101;0.3647;0.9931;23.151;13140.5;5.0;43.661;-25.449.467;-4.923.391;915.08;NaN;1.0;3.790.092;110.2;13 / 19;545008;2023-06-30 10:45:29:354
0.3045;21.805;112.159;0.3961;31.178;92.894;11.234;-18.163;27.117;-0.0875;-15.316;-0.4999;13140.5;5.0;43.95;-25.449.469;-49.233.894;914.69;NaN;1.09;3.790.092;107.0;dez/19;545509;2023-06-30 10:45:29:855
-16.172;84.324;72.682;-0.2233;66.699;71.856;0.1174;0.7389;-21.774;0.2682;-0.2069;0.582;9484.0;5.0;40.857;-25.449.469;-49.233.894;914.69;NaN;1.09;3.790.092;107.0;dez/19;546009;2023-06-30 10:45:30:355
0.1854;67.567;78.018;0.0422;57.951;79.111;0.0252;0.954;0.1709;0.0955;-0.0115;-0.0968;9484.0;5.0;40.284;-25.449.472;-49.233.887;914.71;NaN;0.61;3.790.092;104.1;13 / 19;546510;2023-06-30 10:45:30:856
-0.8106;61.633;56.647;-0.0155;63.624;74.626;-0.3442;0.0117;-0.2876;0.0017;0.1457;-0.2388;9484.0;5.0;44.732;-25.449.472;-49.233.887;914.71;NaN;0.61;3.790.092;104.1;13 / 19;547008;2023-06-30 10:45:31:354
-0.0063;48.817;87.573;-0.3042;61.573;76.266;-0.6744;-0.9259;-0.039;0.3585;-0.1466;0.3206;9484.0;5.0;60.178;-25.449.472;-4.923.388;915.52;NaN;0.71;3.790.092;100.4;13 / 19;547509;2023-06-30 10:45:31:855
0.8797;51.844;81.764;0.4592;62.411;75.504;-0.076;0.568;0.7868;0.1021;-0.6522;-0.2984;9484.0;5.0;65.128;-25.449.472;-4.923.388;915.52;NaN;0.71;3.790.092;100.4;13 / 19;548009;2023-06-30 10:45:32:355
-0.2099;72.778;68.442;-0.1608;61.761;76.158;0.3674;0.246;-0.0315;0.288;0.3498;0.1591;9484.0;5.0;62.968;-25.449.476;-4.923.387;915.4;NaN;0.52;3.790.092;112.6;14 / 19;548509;2023-06-30 10:45:32:855
0.6459;65.522;68.924;0.6737;64.342;7.37;0.443;-0.0301;-12.418;-0.2643;0.014;0.0273;9484.0;5.0;63.366;-25.449.476;-4.923.387;915.4;NaN;0.52;3.790.092;112.6;14 / 19;549009;2023-06-30 10:45:33:355
-13.963;6.051;56.662;-0.1187;6.547;73.002;-0.4442;-0.1918;-0.7543;0.3919;0.3956;-0.4123;9484.0;5.0;40.039;-2.544.948;-49.233.868;915.08;NaN;0.98;3.790.092;124.1;14 / 19;549509;2023-06-30 10:45:33:855
0.2363;71.098;80.018;-0.4782;68.977;69.544;-0.8333;16.911;-0.3763;-0.1651;0.0969;0.0699;9484.0;5.0;37.851;-2.544.948;-49.233.868;915.08;NaN;0.98;3.790.092;124.1;14 / 19;550008;2023-06-30 10:45:34:354
-0.9046;80.928;76.461;0.3077;63.333;7.481;-0.5471;0.9619;0.2474;0.1891;-0.5581;0.0599;9484.0;5.0;42.017;-25.449.486;-4.923.386;915.98;NaN;0.82;3.790.092;124.3;14 / 19;550509;2023-06-30 10:45:34:855
0.0814;6.11;65.492;0.3567;62.158;75.768;-0.5053;-0.3874;-0.7769;-0.0479;0.2422;-0.1121;9484.0;5.0;37.515;-25.449.486;-4.923.386;915.98;NaN;0.82;3.790.092;124.3;14 / 19;551008;2023-06-30 10:45:35:354
-0.374;53.042;73.212;0.3364;62.831;7.522;-0.5227;-10.857;0.1567;0.2883;0.4583;0.4478;9484.0;5.0;37.495;-25.449.492;-49.233.852;916.68;NaN;0.81;3.790.092;124.3;14 / 19;551509;2023-06-30 10:45:35:855
20.604;54.638;95.397;10.603;64.308;73.274;-0.3056;0.2111;0.5;-0.0687;0.2178;-0.1044;9484.0;5.0;58.466;-25.449.492;-49.233.852;916.68;NaN;0.81;3.790.092;124.3;14 / 19;552009;2023-06-30 10:45:36:355
-0.4354;72.074;61.303;-0.4192;65.611;72.765;0.3893;0.1297;-0.8768;-0.0891;0.3059;0.2156;10.915.901;5.0;60.996;-25.449.495;-49.233.845;916.7;NaN;0.95;3.790.092;123.7;15 / 19;552509;2023-06-30 10:45:36:855
-0.032;67.011;67.798;0.3185;65.893;7.256;-0.0832;-0.0713;-13.584;-0.0704;0.1513;0.0497;10.915.901;5.0;64.42;-25.449.495;-49.233.845;916.7;NaN;0.95;3.790.092;123.7;15 / 19;553009;2023-06-30 10:45:37:355
-0.0566;64.771;72.586;0.2285;67.813;70.804;-0.2846;-0.2932;0.1898;-0.0539;-0.2406;-0.3471;10.915.901;5.0;62.901;-254.495;-4.923.384;917.33;NaN;0.7;3.790.092;125.1;15 / 19;553508;2023-06-30 10:45:37:854
-0.1015;76.512;71.535;0.0985;74.031;64.308;-0.2289;14.562;12.398;0.1479;0.055;0.2923;10.915.901;5.0;62.648;-254.495;-4.923.384;917.33;NaN;0.7;3.790.092;125.1;15 / 19;554009;2023-06-30 10:45:38:355
0.1988;87.525;72.861;0.6456;71.638;66.659;-0.5104;10.045;-0.7879;-0.1917;-0.3672;0.0988;10.915.901;5.0;61.181;-254.495;-4.923.383;917.52;NaN;1.09;3.790.092;110.6;14 / 19;554509;2023-06-30 10:45:38:855
-11.115;71.945;46.805;-0.1463;7.17;66.889;0.0428;-0.3449;-14.906;-0.29;-0.0538;-0.4143;10.915.901;5.0;63.045;-254.495;-4.923.383;917.52;NaN;1.09;3.790.092;110.6;14 / 19;555009;2023-06-30 10:45:39:355
0.2854;52.174;59.438;-0.0869;69.876;68.802;-0.8805;-11.892;21.652;-0.0855;-0.3032;0.131;10.915.901;5.0;61.463;-254.495;-49.233.814;918.41;NaN;1.26;4.024.068;86.8;14 / 19;555509;2023-06-30 10:45:39:855
0.7935;61.809;75.194;0.7577;68.291;69.971;0.5391;0.6295;10.511;0.1537;0.1481;-0.1419;12347.7;5.0;64.851;-254.495;-49.233.814;918.41;NaN;1.26;4.024.068;86.8;14 / 19;556009;2023-06-30 10:45:40:355
-0.1898;76.134;56.623;-0.2606;70.606;68.008;0.3093;-0.2344;-0.5146;0.1999;0.1956;0.2919;12347.7;5.0;58.077;-25.449.495;-49.233.807;918.87;NaN;0.94;3.790.092;85.4;14 / 19;556508;2023-06-30 10:45:40:854
0.2491;6.734;68.041;0.1489;65.027;73.391;-0.6865;-0.2847;-27.503;-10.241;-0.1637;-0.0332;10568.5;5.0;62.608;-25.449.495;-49.233.807;918.87;NaN;0.94;3.790.092;85.4;14 / 19;557009;2023-06-30 10:45:41:355
-25.386;30.476;66.684;-14.031;37.872;89.364;-0.7577;0.3973;-27.909;-0.3345;0.3523;-0.6332;13.454.499;5.0;46.975;-25.449.497;-49.233.795;919.37;NaN;1.23;3.981.821;102.4;14 / 19;557509;2023-06-30 10:45:41:855
-0.2153;35.483;89.528;-0.1252;42.725;88.261;0.8639;-0.556;16.718;0.9667;0.3029;0.4083;13082.6;5.0;45.295;-25.449.497;-49.233.795;919.37;NaN;1.23;3.981.821;102.4;14 / 19;558009;2023-06-30 10:45:42:355
16.676;58.686;89.941;-0.2234;64.435;73.893;-10.324;11.137;0.0993;0.0326;-0.2691;-0.0236;11272.2;5.0;51.145;-254.495;-49.233.788;920.42;NaN;0.88;3.790.092;119.2;13 / 19;558509;2023-06-30 10:45:42:855
-0.4842;71.724;60.429;-0.799;61.115;76.277;0.556;0.5137;-0.974;0.0955;0.2141;0.1197;11272.2;5.0;52.119;-254.495;-49.233.788;920.42;NaN;0.88;3.790.092;119.2;13 / 19;559008;2023-06-30 10:45:43:354
0.0398;56.512;69.891;-0.1201;61.543;76.342;-0.9617;-13.985;13.496;0.4949;0.222;0.4257;11272.2;5.0;57.634;-254.495;-4.923.378;920.77;NaN;0.98;3.790.092;117.2;14 / 19;559508;2023-06-30 10:45:43:854
0.4126;6.286;70.753;0.664;67.415;7.091;12.924;-10.768;-0.2874;0.0294;0.3209;-0.3402;9444.0;5.0;58.645;-254.495;-4.923.378;920.77;NaN;0.98;3.790.092;117.2;14 / 19;560008;2023-06-30 10:45:44:354
-11.154;78.027;80.776;-0.5649;67.177;7.122;-0.0907;0.9398;-10.494;0.0421;0.1531;0.2987;9444.0;5.0;61.72;-25.449.503;-49.233.772;921.8;NaN;0.91;3.790.092;109.3;14 / 19;560508;2023-06-30 10:45:44:854
0.2204;7.187;60.654;-0.1205;65.708;72.787;-0.1561;0.3836;-0.1503;-0.0166;-0.2172;0.1205;9444.0;5.0;62.251;-25.449.503;-49.233.772;921.8;NaN;0.91;3.790.092;109.3;14 / 19;561008;2023-06-30 10:45:45:354
-0.4192;6.725;59.174;-0.3886;66.281;72.172;-10.124;-0.6373;-1.705;0.3968;0.0995;-0.6345;9444.0;5.0;56.24;-25.449.505;-4.923.376;920.66;NaN;1.01;3.790.092;107.8;14 / 19;561509;2023-06-30 10:45:45:855
-0.8199;55.722;52.165;-0.4531;6.716;71.316;-17.943;-11.463;0.411;-0.8984;0.1177;0.2949;9444.0;5.0;62.389;-25.449.505;-4.923.376;920.66;NaN;1.01;3.790.092;107.8;14 / 19;562009;2023-06-30 10:45:46:355
42.298;56.195;8.109;10.303;6.201;7.527;0.3787;-0.427;14.482;0.6008;0.1748;-0.4762;8021.0;5.0;62.756;-25.449.509;-49.233.753;921.38;NaN;0.96;3.790.092;112.0;14 / 19;562509;2023-06-30 10:45:46:855
-20.415;56.818;70.801;-16.294;46.527;84.775;-0.429;10.768;-13.104;-0.5755;-0.3814;-0.5767;6889.8;5.0;58.583;-25.449.509;-49.233.753;921.38;NaN;0.96;3.790.092;112.0;14 / 19;563009;2023-06-30 10:45:47:355
-0.3539;43.607;79.347;-0.7816;32.561;92.172;-0.3086;-0.752;12.327;0.8442;0.335;0.7428;20.965.999;5.0;59.126;-25.449.509;-49.233.746;922.08;NaN;0.87;3.790.092;107.8;15 / 19;563508;2023-06-30 10:45:47:854
-0.3947;6.066;70.044;-0.0419;64.798;73.608;-0.4934;-0.3587;-23.539;-0.0273;0.3996;-0.2899;1748.9;5.0;55.137;-25.449.509;-49.233.746;922.08;NaN;0.87;3.790.092;107.8;15 / 19;564009;2023-06-30 10:45:48:355
-10.441;63.274;89.127;-0.8033;65.394;72.637;-16.668;26.818;10.355;-0.4597;-0.3072;0.0651;14.192.999;5.0;63.754;-25.449.509;-4.923.373;921.2;NaN;1.0;3.790.092;106.8;15 / 19;564509;2023-06-30 10:45:48:855
-0.1602;6.728;85.042;0.5469;52.582;82.597;-0.2841;16.375;16.439;-0.3627;-12.751;-0.3302;1616.5;5.0;65.892;-25.449.509;-4.923.373;921.2;NaN;1.0;3.790.092;106.8;15 / 19;565009;2023-06-30 10:45:49:355
-0.5165;74.712;70.688;0.0664;62.429;75.626;-0.3531;0.4094;-0.3664;0.3863;0.2047;0.226;1616.5;5.0;64.828;-25.449.512;-49.233.723;920.33;NaN;0.99;3.790.092;114.5;15 / 19;565509;2023-06-30 10:45:49:855
0.651;62.492;69.511;0.6775;57.854;78.893;0.9091;-0.3065;-0.3809;-0.2699;-0.6274;0.0401;1616.5;5.0;53.603;-25.449.512;-49.233.723;920.33;NaN;0.99;3.790.092;114.5;15 / 19;566009;2023-06-30 10:45:50:355
0.9615;60.417;68.415;17.364;59.422;76.056;-0.8124;-10.712;-0.951;-0.0503;0.8096;-0.1605;1616.5;5.0;62.898;-25.449.514;-4.923.371;920.01;NaN;0.95;3.790.092;123.0;15 / 19;566508;2023-06-30 10:45:50:854
-0.6228;42.014;71.071;0.5798;54.869;81.073;-14.639;-1.302;0.7107;-0.287;0.6951;0.1233;1616.5;5.0;44.103;-25.449.514;-4.923.371;920.01;NaN;0.95;3.790.092;123.0;15 / 19;567008;2023-06-30 10:45:51:354
-0.4557;70.765;98.808;0.4992;43.371;87.813;0.382;15.612;-0.6246;-0.4229;-0.319;-0.0799;1905.2;5.0;44.933;-2.544.952;-49.233.704;921.19;NaN;1.12;3.790.092;124.1;15 / 19;567509;2023-06-30 10:45:51:855
-0.2237;61.127;8.147;-0.0608;43.429;87.924;0.3335;0.5228;0.5892;9.0E-4;0.0549;0.4816;1905.2;5.0;45.803;-2.544.952;-49.233.704;921.19;NaN;1.12;3.790.092;124.1;15 / 19;568009;2023-06-30 10:45:52:355
11.489;47.383;74.212;0.1737;34.626;91.734;0.0601;-10.133;-0.7641;-0.0129;0.2021;0.3731;2800.3;5.0;49.099;-25.449.522;-4.923.369;921.1;NaN;1.13;3.931.307;112.8;15 / 19;568509;2023-06-30 10:45:52:855
12.298;44.457;71.415;0.3853;35.176;9.146;-0.1765;0.0327;-19.094;0.4151;0.695;0.429;3599.9;5.0;41.784;-25.449.522;-4.923.369;921.1;NaN;1.13;3.931.307;112.8;15 / 19;569009;2023-06-30 10:45:53:355
-24.554;19.553;71.715;-0.0995;48.462;8.525;-0.9825;-18.911;-0.2505;-0.1844;0.3169;-0.1686;3026.2;5.0;40.485;-25.449.524;-4.923.368;921.6;NaN;0.97;4.52;100.3;15 / 19;569508;2023-06-30 10:45:53:854
28.356;22.251;98.649;0.4105;33.217;92.178;14.847;-13.669;0.6492;-12.317;0.022;10.497;4527.6;5.0;51.83;-25.449.524;-4.923.368;921.6;NaN;0.97;4.52;100.3;15 / 19;570008;2023-06-30 10:45:54:354
-0.8199;39.906;89.157;0.6828;31.581;92.591;-0.3911;0.4641;-12.232;-0.4412;-0.0422;0.2427;12704.0;5.0;47.757;-25.449.518;-4.923.367;923.13;NaN;1.09;4.124.523;80.8;15 / 19;570509;2023-06-30 10:45:54:855
0.5279;38.331;96.888;-0.2855;19.582;96.049;13.833;11.205;-0.7534;0.2044;-0.2858;-0.0703;14930.8;5.0;47.341;-25.449.518;-4.923.367;923.13;NaN;1.09;4.124.523;80.8;15 / 19;571009;2023-06-30 10:45:55:355
0.9073;46.305;61.618;1.235;50.307;83.269;-0.7117;-0.2492;-0.9715;-0.0229;0.621;0.0802;5020.6;5.0;61.689;-25.449.516;-4.923.366;922.93;NaN;0.52;4.016.072;71.2;15 / 19;571509;2023-06-30 10:45:55:855
-10.531;28.174;79.189;0.6847;42.802;87.967;-12.314;-1.083;1.062;-0.529;0.2366;0.2799;13.071.401;5.0;65.963;-25.449.516;-4.923.366;922.93;NaN;0.52;4.016.072;71.2;15 / 19;572009;2023-06-30 10:45:56:355
-0.3521;63.193;89.471;0.6487;38.863;89.803;-0.5766;21.223;11.046;-0.5796;-0.51;-0.7465;14.848.499;5.0;63.287;-25.449.514;-4.923.365;922.7;NaN;0.67;4.183.506;69.0;15 / 19;572509;2023-06-30 10:45:56:855
-0.9327;55.815;63.426;-0.2552;47.415;85.804;0.7727;11.062;-30.801;-0.7887;-0.4844;-0.7591;14.848.499;5.0;64.176;-25.449.514;-4.923.365;922.7;NaN;0.67;4.183.506;69.0;15 / 19;573008;2023-06-30 10:45:57:354
-0.2213;25.856;92.028;-11.682;22.945;94.626;0.42;0.9128;-31.707;-13.083;-0.8049;0.5265;17427.1;5.0;50.005;-25.449.514;-49.233.643;923.04;NaN;0.68;4.459.895;79.1;15 / 19;573508;2023-06-30 10:45:57:854
-0.3153;3.195;84.965;0.2452;20.466;95.876;-0.2551;0.4461;-22.142;0.4429;-0.0381;-0.2248;17427.1;5.0;47.063;-25.449.514;-49.233.643;923.04;NaN;0.68;4.459.895;79.1;15 / 19;574009;2023-06-30 10:45:58:355
-1.086;20.044;102.574;0.2022;34.025;91.952;-0.3204;0.5037;14.328;0.9643;-0.5634;-0.3341;16327.1;5.0;59.123;-25.449.514;-4.923.363;922.23;NaN;0.98;4.304.429;72.1;15 / 19;574509;2023-06-30 10:45:58:855
0.5321;55.485;77.682;0.4847;57.384;79.377;-0.7838;14.288;16.212;-0.1483;-0.2049;0.0487;13.953.299;5.0;63.862;-25.449.514;-4.923.363;922.23;NaN;0.98;4.304.429;72.1;15 / 19;575009;2023-06-30 10:45:59:355
0.3944;6.177;70.975;0.139;56.235;80.329;0.1483;0.2913;-14.656;-0.0953;0.2017;0.0318;13.953.299;5.0;67.514;-25.449.512;-49.233.624;922.18;NaN;0.82;4.467.727;60.4;15 / 19;575509;2023-06-30 10:45:59:855
-0.4429;5.447;68.792;-0.2376;5.392;81.878;-0.2854;-0.8503;-0.151;0.1358;0.0353;0.1778;16.320.401;5.0;61.988;-25.449.512;-49.233.624;922.18;NaN;0.82;4.467.727;60.4;15 / 19;576009;2023-06-30 10:46:00:355
20.601;46.529;91.771;0.9477;54.925;80.687;0.5451;0.5541;0.3571;0.0686;-0.3286;-0.0177;16.320.401;5.0;43.608;-25.449.512;-49.233.616;922.19;NaN;0.82;4.347.132;57.1;15 / 19;576509;2023-06-30 10:46:00:855
18.041;64.876;66.777;0.6319;58.874;78.172;0.613;0.1668;-10.074;-0.0461;0.2244;-0.087;16.320.401;5.0;43.789;-25.449.512;-49.233.616;922.19;NaN;0.82;4.347.132;57.1;15 / 19;577009;2023-06-30 10:46:01:355
0.3333;58.953;59.833;-0.019;58.088;79.011;-0.157;-0.8341;-0.7294;-0.2032;-0.3573;-0.0573;16.320.401;5.0;67.287;-2.544.951;-4.923.361;922.2;NaN;0.67;4.456.939;56.5;15 / 19;577509;2023-06-30 10:46:01:855
19.466;63.989;89.115;0.921;53.671;81.557;0.2816;0.1542;0.1304;-0.6429;0.5159;0.4424;16.320.401;5.0;67.212;-2.544.951;-4.923.361;922.2;NaN;0.67;4.456.939;56.5;15 / 19;578009;2023-06-30 10:46:02:355
14.316;7.034;6.654;0.2673;57.908;79.099;21.389;0.9937;-28.352;-0.2136;-0.8895;0.0398;19117.3;5.0;67.428;-25.449.505;-492.336;922.78;NaN;0.99;4.907.485;50.4;15 / 19;578509;2023-06-30 10:46:02:855
0.5444;69.508;75.658;0.8897;62.536;75.014;-0.6137;0.246;-0.261;0.3458;-0.2056;0.267;19117.3;5.0;66.653;-25.449.505;-492.336;922.78;NaN;0.99;4.907.485;50.4;15 / 19;579009;2023-06-30 10:46:03:355
0.3234;64.471;80.081;12.019;55.171;8.018;0.3234;0.365;0.0019;0.029;0.0643;-0.5413;18832.2;5.0;65.428;-254.495;-49.233.593;923.12;NaN;0.88;4.651.875;50.7;14 / 19;579509;2023-06-30 10:46:03:855
0.2797;21.173;87.549;0.319;3.712;90.714;0.1144;-0.1946;-0.4858;-0.8874;0.045;0.5483;22417.4;5.0;47.681;-254.495;-49.233.593;923.12;NaN;0.88;4.651.875;50.7;14 / 19;580009;2023-06-30 10:46:04:355
13.816;19.119;110.405;-0.5509;25.037;94.656;0.0643;0.8584;0.5779;-0.2852;-0.4129;-10.155;25566.1;5.0;62.664;-25.449.493;-4.923.358;923.52;NaN;1.37;4.400.701;39.9;14 / 18;580509;2023-06-30 10:46:04:855
